model_type	입력	출력
LayerFreezing	그림 속 인물의 팔이 살짝 겹쳐져 있다.	이는 우유부단함, 갈등, 혹은 확신을 얻고자 하는 욕구를 의미합니다. 또한 외부 위협으로부터 자신을 보호하려는 마음을 반영하는 것으로, 관계나 환경에 대한 불안감을 시사할 수 있습니다.
LayerFreezing	나무는 우뚝 솟아 위를 향해 뻗은 성숙한 모습이다.	위로 뻗은 큰 나무는 야망, 성취 욕구, 성장 지향성을 나타냅니다. 그러나 외부 압력에 압도되는 것을 피하려는 마음이나 통제 상실에 대한 두려움일 수도 있습니다. 이는 주체의 포부인지 불안인지는 추가 탐색이 필요합니다.
LayerFreezing	나무는 복잡하게 얽힌 구조로 그려졌다.	이는 전략적 사고 능력, 유연한 사고, 혹은 과도한 분석 성향을 시사할 수 있습니다. 가지가 섬세하고 복잡하게 표현된 점은 집중력 유지나 여러 과제를 동시에 처리하는 능력에 대해 더 탐색이 필요할 수 있음을 의미합니다.
LayerFreezing	나무 앞에 홀로 선 인물이 있다.	고립된 인물과 두드러진 나무의 조합은 외로움, 취약성, 혹은 안정에 대한 필요를 나타낼 수 있습니다. 나무는 안정과 연결을 상징하고, 고독한 인물은 대인 관계의 어려움이나 자기 성찰과 사회적 수용 간의 갈등을 반영할 수 있습니다. 전체적으로, 자신을 강하고 자신감 있게 보이고자 하지만 실제로는 취약함을 느끼는 이중적인 모습이 드러날 수 있습니다.
LayerFreezing	시든 나무 한 그루가 있다.	고독하고 생명력 없는 나무는 고립감, 외로움, 지지 부족을 나타낼 수 있습니다. 또한 자기 의존의 어려움이나 외부의 인정에 대한 필요를 시사할 수 있습니다.
LayerFreezing	고립된 나무 한 그루가 있다.	고립된 나무는 외로움, 사회적 지지 부족, 혹은 현재 관계에서 벗어나고 싶은 욕구를 나타낼 수 있습니다.
LayerFreezing	사람은 손가락으로 가리키는 모습으로 묘사되었다.	그림은 통제 욕구, 의사소통 필요, 외부 영향에 압도되는 감정을 시사합니다. 이는 불안이나 감정 조절의 어려움으로 인해 외부의 인정에 의존하게 되는 모습을 반영할 수 있습니다.
LayerFreezing	큰 나무가 그림을 지배한다.	두드러진 나무는 안정에 대한 욕구나 성장 욕구를 나타내며, 이는 통제감과 안전에 대한 불안 혹은 열망을 반영할 수 있습니다.
LayerFreezing	집은 여러 층으로 이루어진 복잡한 지붕 구조를 가졌다.	복잡한 지붕 구조는 활발하고 상상력이 풍부한 사고를 의미하나, 동시에 생각을 정리하는 데 어려움이나 삶의 복잡하게 얽힌 상황을 반영할 수 있습니다. 여러 관점이나 다층적 접근이 필요하다는 의미일 수도 있습니다.
LayerFreezing	사람은 중앙에 위치해 있다.	이는 가족 체계 내에서 통제와 집중을 원하는 경향을 시사합니다. 인물을 그림의 중심에 두는 모습은 관계 속에서 중심적 위치를 차지하고 싶어 하는 욕구를 반영할 수 있으며, 자기 확신 또는 미래 지향적 태도의 필요를 의미할 수 있습니다.
